Jane Smith       10/25/1985  06/15/2022
Laura Smellner   10/20/1947  06/17/2022
Jenna Jones      10/23/1964  07/01/2022
Beth Bonders     10/26/1939  07/14/2022
Grace Johson     10/19/1958  07/29/2022
Mary Contrary    10/22/1981  06/30/2022
Jennifer Palermo 10/21/1953  09/03/2022
Ann Lewis        10/24/1975  08/15/2022
Linda Bentner    10/13/1938  09/04/2022
Francine Scalia  10/14/1963  09/04/2022
Leah Thill       10/15/1949  08/01/2022
Caroline Harris  11/05/1968  08/11/2022
Olivia Knupf     11/04/1972  07/31/2022
Maya Angelson    11/03/1961  07/17/2022
